BUA22CD,BUA22NM,BUA22NMW,BUA22NMG,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length
E63000001,Berwick-upon-Tweed, , ,399257.4493,652237.0776,-2.01340125,55.76348232,1,5228125,47050
E63000002,Loanend, , ,395742.4274,650004.5275,-2.069381732,55.74340379,2,270625,5050
E63000003,Norham, , ,389892.0977,647250.8136,-2.162462916,55.71857343,3,315000,6300
E63000004,Haggerston, , ,404604.4085,643967.1377,-1.928326558,55.68915624,4,538125,8650
E63000005,Lowick, , ,401794.0497,639630.3463,-1.973054664,55.65020733,5,383750,4650
E63000006,Cornhill on Tweed, , ,386149.963,639395.4705,-2.221629694,55.64789924,6,201875,4650
E63000007,Bamburgh, , ,417915.3214,634946.5589,-1.717189064,55.60779993,7,265000,6050
E63000008,Belford, , ,410841.5008,633735.0617,-1.82951884,55.59712161,8,620000,10550
E63000009,Seahouses and North Sunderland, , ,421427.0585,631838.1715,-1.661688129,55.57972963,9,1056875,10450
E63000010,Beadnell, , ,423216.2857,628813.7608,-1.63356131,55.55247337,10,594375,8150
E63000011,Wooler, , ,399184.6252,628071.8648,-2.014479989,55.54635329,11,1213750,18700
E63000012,Brunton, , ,420436.2092,625814.4688,-1.677847126,55.52564782,12,318125,12600
E63000013,Embleton, , ,423116.392,622645.0568,-1.635656871,55.49705108,13,272500,4750
E63000014,Longhoughton, , ,424294.8786,615032.8846,-1.617665475,55.4285968,14,478125,6650
E63000015,Alnwick, , ,419028.3732,612564.5617,-1.701048225,55.40664945,15,3624375,33650
E63000016,Whittingham, , ,406771.9116,611864.8983,-1.894622745,55.40068209,16,222500,3350
E63000017,Lesbury, , ,423525.9518,611761.582,-1.630089655,55.39924033,17,296875,3950
E63000018,Hipsburn, , ,423491.1199,611080.7314,-1.63069661,55.39312429,18,278750,7050
E63000019,Shilbottle, , ,419713.7447,608689.4083,-1.690496607,55.37180256,19,534375,7550
E63000020,Warkworth, , ,424486.7447,605489.9769,-1.615466145,55.34284065,20,688125,12250
E63000021,Amble, , ,426909.5496,604150.5279,-1.577394961,55.33067908,21,2109375,15700
E63000022,Swarland, , ,416281.048,603579.1024,-1.744953668,55.32600866,22,925000,14050
E63000023,Thropton, , ,403092.2135,602186.2826,-1.952827957,55.31374984,23,276875,5200
E63000024,Acklington, , ,423066.4512,601883.6452,-1.638154492,55.31050435,24,210000,3950
E63000025,Rothbury, , ,405974.3459,601745.9969,-1.907428039,55.3097677,25,1123125,19600
E63000026,Longframlington, , ,412822.1356,600973.9782,-1.79958462,55.30270147,26,644375,10000
E63000027,Felton (Northumberland), , ,418339.2395,600315.7746,-1.712728254,55.29661382,27,531250,12650
E63000028,South Broomhill, , ,423273.0805,600217.1991,-1.635036688,55.29552078,28,445000,3750
E63000029,Hadston, , ,425357.8715,599971.4031,-1.602227872,55.29320974,29,752500,12100
E63000030,West Thirston, , ,418310.453,598438.9915,-1.713303059,55.27975084,30,258750,12400
E63000031,Longhorsley, , ,414863.7209,594488.118,-1.767767748,55.24436472,31,329375,5500
E63000032,Widdrington Station, , ,424602.8845,593914.8646,-1.614643375,55.23882649,32,735000,6650
E63000033,Otterburn, , ,388557.5093,593279.8585,-2.181461815,55.23359268,33,253125,4600
E63000034,Ellington (Northumberland), , ,428043.7334,592061.9422,-1.560718311,55.22199425,34,744375,9000
E63000035,Lynemouth, , ,429507.3129,590844.1156,-1.537839602,55.21096648,35,881875,9350
E63000036,Woodhorn, , ,429400.5117,589768.0196,-1.539629424,55.2013035,36,476250,4250
E63000037,Newbiggin-by-the-Sea, , ,430907.2182,588035.8707,-1.516147015,55.18564762,37,1245625,15850
E63000038,Fair Moor, , ,418425.2267,587731.6915,-1.712191204,55.18353404,38,602500,7450
E63000039,Pegswood, , ,422636.2274,587399.5951,-1.646089314,55.18037608,39,867500,8600
E63000040,Ashington (Northumberland), , ,428256.1779,587138.1631,-1.557869103,55.17773913,40,7700625,31250
E63000041,Morpeth, , ,419741.8029,585770.7568,-1.691651931,55.16586304,41,5171875,41250
E63000042,Stakeford, , ,426195.7033,585422.5794,-1.590379205,55.16243639,42,1763750,17700
E63000043,Bomarsund, , ,427878.1421,584661.0304,-1.564047507,55.15550186,43,223125,3200
E63000044,Choppington, , ,425598.8569,584269.175,-1.599850592,55.15210333,44,330625,4000
E63000045,Hepscott, , ,422296.8578,584141.3905,-1.651673361,55.15111403,45,450625,5350
E63000046,Cambois, , ,429555.4856,584055.8432,-1.537788683,55.14996696,46,513125,8650
E63000047,Bellingham, , ,384051.5075,583262.6155,-2.251743443,55.1434538,47,548750,9150
E63000048,Bedlington, , ,425880.503,582251.024,-1.5956145,55.13395422,48,4376250,31650
E63000049,Tranwell Woods, , ,417907.9555,582124.8956,-1.720666308,55.1331713,49,531875,14300
E63000050,Blyth (Northumberland), , ,430372.3025,580852.5722,-1.525314084,55.12113427,50,11758750,39300
E63000051,Stannington, , ,421282.5474,579417.1334,-1.667941089,55.10870715,51,244375,3350
E63000052,Ogle, , ,414962.4948,577167.6026,-1.76712206,55.08872251,52,485000,5900
E63000053,Cramlington, , ,426089.061,577111.6202,-1.592813046,55.08776187,53,9479375,63750
E63000054,New Hartley, , ,430849.1632,576852.1159,-1.518269719,55.0851581,54,431875,4650
