,date,sales,station
0,2023-01-01,1346.8404383148904,Manchester Piccadilly
1,2023-01-02,1347.6963144009887,Manchester Piccadilly
2,2023-01-03,1349.7573595663366,Manchester Piccadilly
3,2023-01-04,1354.6467856571255,Manchester Piccadilly
4,2023-01-05,1348.356770087684,Manchester Piccadilly
5,2023-01-06,1349.6031753874136,Manchester Piccadilly
6,2023-01-07,1344.8768934133707,Manchester Piccadilly
7,2023-01-08,1346.2484727730355,Manchester Piccadilly
8,2023-01-09,1349.1940273545515,Manchester Piccadilly
9,2023-01-10,1356.5699651547404,Manchester Piccadilly
10,2023-01-11,1360.6083546297198,Manchester Piccadilly
11,2023-01-12,1356.3624225677409,Manchester Piccadilly
12,2023-01-13,1354.202129604808,Manchester Piccadilly
13,2023-01-14,1348.6329858467554,Manchester Piccadilly
14,2023-01-15,1351.0173862117847,Manchester Piccadilly
15,2023-01-16,1350.5237603190903,Manchester Piccadilly
16,2023-01-17,1356.9635506930622,Manchester Piccadilly
17,2023-01-18,1355.5232271209456,Manchester Piccadilly
18,2023-01-19,1352.1744754563044,Manchester Piccadilly
19,2023-01-20,1353.3986159734584,Manchester Piccadilly
20,2023-01-21,1352.005156734772,Manchester Piccadilly
21,2023-01-22,1355.4617077858632,Manchester Piccadilly
22,2023-01-23,1355.5728418891738,Manchester Piccadilly
23,2023-01-24,1357.9363788717008,Manchester Piccadilly
24,2023-01-25,1359.3209057656177,Manchester Piccadilly
25,2023-01-26,1359.3848091221869,Manchester Piccadilly
26,2023-01-27,1354.0047169061775,Manchester Piccadilly
27,2023-01-28,1348.5987485978792,Manchester Piccadilly
28,2023-01-29,1341.058705940121,Manchester Piccadilly
29,2023-01-30,1344.9868808447566,Manchester Piccadilly
30,2023-01-31,1347.6489313058814,Manchester Piccadilly
31,2023-02-01,1351.2517630588236,Manchester Piccadilly
32,2023-02-02,1352.20297310376,Manchester Piccadilly
33,2023-02-03,1352.375209166574,Manchester Piccadilly
34,2023-02-04,1346.9717313831738,Manchester Piccadilly
